id,symbol,sec filings
1,MMM,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
2,AOS,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
3,ABT,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
4,ABBV,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
5,ACN,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
6,ATVI,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
7,AYI,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
8,ADBE,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
9,AAP,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
10,AMD,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
11,AES,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
12,AET,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
13,AMG,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG
14,AFL,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
15,A,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
16,APD,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
17,AKAM,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
18,ALK,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALK
19,ALB,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
20,ARE,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
21,ALXN,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
22,ALGN,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
23,ALLE,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
24,AGN,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
25,ADS,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADS
26,LNT,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
27,ALL,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
28,GOOGL,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
29,GOOG,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
30,MO,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
31,AMZN,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
32,AEE,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
33,AAL,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL
34,AEP,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
35,AXP,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
36,AIG,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
37,AMT,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
38,AWK,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
39,AMP,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
40,ABC,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC
41,AME,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
42,AMGN,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
43,APH,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
44,APC,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
45,ADI,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
46,ANDV,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANDV
47,ANSS,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
48,ANTM,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM
49,AON,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
50,APA,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
51,AIV,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV
52,AAPL,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
53,AMAT,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
54,APTV,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
55,ADM,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
56,ARNC,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC
57,AJG,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
58,AIZ,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
59,T,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
60,ADSK,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
61,ADP,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
62,AZO,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
63,AVB,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
64,AVY,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
65,BHGE,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE
66,BLL,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
67,BAC,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
68,BAX,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
69,BBT,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT
70,BDX,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
71,BRK.B,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
72,BBY,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
73,BIIB,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
