symbol,name,sector,price_to_earnings,sector_avg_pe,pe_rank
MAT,Mattel Inc.,Consumer Discretionary,-14.68,25.73,56
F,Ford Motor,Consumer Discretionary,5.89,25.73,55
GM,General Motors,Consumer Discretionary,6.58,25.73,54
SIG,Signet Jewelers,Consumer Discretionary,6.65,25.73,53
M,Macy's Inc.,Consumer Discretionary,7.67,25.73,52
VIAB,Viacom Inc.,Consumer Discretionary,8.68,25.73,51
NWL,Newell Brands,Consumer Discretionary,9.72,25.73,50
GT,Goodyear Tire & Rubber,Consumer Discretionary,9.92,25.73,49
HBI,Hanesbrands Inc,Consumer Discretionary,10.04,25.73,48
DISCK,Discovery Communications-C,Consumer Discretionary,10.37,25.73,47
DISCA,Discovery Communications-A,Consumer Discretionary,11,25.73,46
WHR,Whirlpool Corp.,Consumer Discretionary,11.77,25.73,45
CBS,CBS Corp.,Consumer Discretionary,12.05,25.73,44
LB,L Brands Inc.,Consumer Discretionary,12.77,25.73,43
PHM,Pulte Homes Inc.,Consumer Discretionary,12.86,25.73,42
HOG,Harley-Davidson,Consumer Discretionary,13.7,25.73,41
BWA,BorgWarner,Consumer Discretionary,14.15,25.73,40
TGT,Target Corp.,Consumer Discretionary,14.19,25.73,39
KORS,Michael Kors Holdings,Consumer Discretionary,14.29,25.73,38
JWN,Nordstrom,Consumer Discretionary,15.04,25.73,37
OMC,Omnicom Group,Consumer Discretionary,15.27,25.73,36
TWX,Time Warner Inc.,Consumer Discretionary,15.35,25.73,35
LEN,Lennar Corp.,Consumer Discretionary,15.35,25.73,35
NCLH,Norwegian Cruise Line,Consumer Discretionary,15.35,25.73,35
GPS,Gap Inc.,Consumer Discretionary,15.35,25.73,35
IPG,Interpublic Group,Consumer Discretionary,15.46,25.73,34
SNA,Snap-On Inc.,Consumer Discretionary,15.81,25.73,33
KSS,Kohl's Corp.,Consumer Discretionary,16.01,25.73,32
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,16.04,25.73,31
DISH,Dish Network,Consumer Discretionary,16.09,25.73,30
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,16.26,25.73,29
AZO,AutoZone Inc,Consumer Discretionary,16.31,25.73,28
DHI,D. R. Horton,Consumer Discretionary,16.32,25.73,27
CCL,Carnival Corp.,Consumer Discretionary,17.48,25.73,26
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,17.57,25.73,25
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,17.74,25.73,24
DIS,The Walt Disney Company,Consumer Discretionary,17.78,25.73,23
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,17.81,25.73,22
LEG,Leggett & Platt,Consumer Discretionary,17.88,25.73,21
CMCSA,Comcast Corp.,Consumer Discretionary,18.54,25.73,20
WYN,Wyndham Worldwide,Consumer Discretionary,18.77,25.73,19
MHK,Mohawk Industries,Consumer Discretionary,19.08,25.73,18
BBY,Best Buy Co. Inc.,Consumer Discretionary,19.22,25.73,17
KMX,Carmax Inc,Consumer Discretionary,19.44,25.73,16
AAP,Advance Auto Parts,Consumer Discretionary,19.54,25.73,15
